customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,order_date,year,month,quarter,cost_price,profit,profit_margin,is_repeat_customer,clv,customer_segment,acquisition_cost,net_profit,discount_impact,revenue_bucket,cohort_month,retention_flag,age_group,purchase_frequency_days
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,2024-03-15 19:54:12,2024,3,2024Q1,68.67022055889389,22.329779441106112,24.538219166050677,1,1820.0,High,8.409831066050412,13.9199483750557,7.3377356343395315,Medium,2024-03,1,Adult,90
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,2023-11-17 17:53:54,2023,11,2023Q4,21.845999585333807,11.154000414666193,33.80000125656422,1,825.0,Low,10.088560107933006,1.065440306733187,3.848436768879223,Low,2023-11,1,Middle-aged,14
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,2023-12-11 13:41:40,2023,12,2023Q4,44.60214963883527,24.397850361164732,35.359203421977874,1,1587.0,Medium,12.47298079342528,11.924869567739456,9.596913055240709,Medium,2023-12,1,Adult,14
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,2023-10-09 04:42:48,2023,10,2023Q4,31.124111853535503,13.875888146464494,30.83530699214332,1,270.0,Low,11.580016580473632,2.2958715659908613,3.4038251685372773,Low,2023-10,1,Adult,7
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,2022-05-07 20:10:14,2022,5,2022Q2,27.981981420546607,9.018018579453392,24.373023187711876,1,851.0,Low,8.274097981722406,0.7439205977309875,5.292767090265572,Low,2022-05,0,Young Adult,90
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,2023-10-22 09:42:41,2023,10,2023Q4,47.52201341674494,12.47798658325506,20.7966443054251,1,600.0,Medium,6.956771149154271,5.521215434100789,6.564728798995129,Medium,2023-10,1,Senior,30
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,2023-07-20 23:28:03,2023,7,2023Q3,57.206401846771904,18.793598153228096,24.728418622668546,1,1254.0,High,5.188667187292931,13.604930965935164,9.88766264830416,Medium,2023-07,1,Senior,90
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,2022-08-22 17:24:40,2022,8,2022Q3,30.070614483143288,8.929385516856712,22.895860299632595,1,819.0,Low,7.309448579997557,1.6199369368591547,3.499108486796899,Low,2022-08,0,Senior,365
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,2022-02-09 04:22:37,2022,2,2022Q1,72.06128612341033,27.938713876589677,27.93871387658967,1,850.0,High,15.580345552911773,12.3583683236779,7.121803825668733,Medium,2022-02,0,Young Adult,365
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,2023-06-02 19:22:33,2023,6,2023Q2,52.92862806562134,16.07137193437866,23.29184338315748,1,724.5,Medium,8.654578540183744,7.416793394194917,9.73752436658908,Medium,2023-06,1,Young Adult,14
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,2024-03-04 16:29:13,2024,3,2024Q1,40.11486109483623,12.885138905163773,24.31158283993165,1,1245.5,Medium,12.029027151822646,0.8561117533411249,7.595620102552957,Medium,2024-03,1,Adult,7
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,2022-07-14 23:16:04,2022,7,2022Q3,14.183339276090376,6.816660723909624,32.46028916147441,1,283.5,Low,13.86951723384867,-7.052856509939046,2.0949078027236845,Low,2022-07,0,Middle-aged,365
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,2023-08-27 16:08:33,2023,8,2023Q3,30.5471165982382,12.4528834017618,28.960193957585577,1,1010.5,Low,18.302613542474106,-5.849730140712307,2.177928568796803,Low,2023-08,1,Middle-aged,90
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,2022-05-12 20:32:46,2022,5,2022Q2,41.09133371748871,12.908666282511293,23.904937560206093,1,1026.0,Medium,18.33282647590129,-5.424160193390001,3.292827949820184,Medium,2022-05,0,Middle-aged,7
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,2024-03-18 15:00:59,2024,3,2024Q1,33.50662407608952,21.49337592391048,39.07886531620087,1,1100.0,Medium,16.186006005220385,5.3073699186900924,5.901653781274469,Medium,2024-03,1,Adult,30
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,2024-10-25 17:59:35,2024,10,2024Q4,22.84847569413498,7.151524305865021,23.8384143528834,1,540.0,Low,5.527354880727521,1.6241694251374996,1.5713301069056589,Low,2024-10,1,Senior,14
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,2022-06-06 00:24:14,2022,6,2022Q2,17.79617349467453,10.20382650532547,36.442237519019535,1,574.0,Low,13.626056286281225,-3.422229780955753,2.511353387162747,Low,2022-06,0,Middle-aged,14
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,2024-04-30 18:34:10,2024,4,2024Q2,41.47326668203298,17.52673331796702,29.706327657571222,1,265.5,Medium,16.798752062472598,0.7279812554944236,4.739882678874874,Medium,2024-04,1,Senior,90
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,2022-06-02 15:07:57,2022,6,2022Q2,15.23310175822375,4.76689824177625,23.83449120888125,1,280.0,Low,5.259320671450448,-0.4924224296741979,2.428696550804409,Low,2022-06,0,Adult,7
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,2024-03-09 09:03:12,2024,3,2024Q1,15.618341175152135,8.381658824847865,34.9235784368661,1,444.0,Low,13.245269204848674,-4.863610380000809,1.3333888150750448,Low,2024-03,1,Young Adult,7
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,2023-03-13 10:55:31,2023,3,2023Q1,61.02117985895568,32.978820141044324,35.08385121387694,1,1739.0,High,17.866462186790443,15.11235795425388,9.294073928386505,Medium,2023-03,1,Middle-aged,14
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,2022-11-08 19:07:19,2022,11,2022Q4,19.05548063138861,8.944519368611388,31.94471203075496,1,714.0,Low,12.111531137634003,-3.167011769022615,3.021519955651695,Low,2022-11,0,Adult,365
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,2022-09-24 12:24:35,2022,9,2022Q3,56.86178484463347,16.13821515536653,22.107144048447303,1,1752.0,Medium,5.061593043461727,11.076622111904804,8.156224855184108,Medium,2022-09,0,Adult,7
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,2024-07-28 19:35:25,2024,7,2024Q3,38.40566760239626,25.594332397603743,39.99114437125585,1,608.0,Medium,5.165200375034112,20.429132022569632,5.793009100908422,Medium,2024-07,1,Young Adult,14
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,2024-09-24 14:04:53,2024,9,2024Q3,42.134937443732895,11.865062556267103,21.972338067161303,1,837.0,Medium,11.249540561206258,0.6155219950608473,4.343586030519576,Medium,2024-09,1,Senior,30
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,2024-10-13 03:51:17,2024,10,2024Q4,49.830150989337405,29.169849010662595,36.92385950716785,1,237.0,High,7.325130011251319,21.84471899941128,9.341694966523477,Medium,2024-10,1,Senior,7
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,2024-02-08 12:49:45,2024,2,2024Q1,29.52663918289937,7.473360817100634,20.198272478650363,1,351.5,Low,14.966759856398893,-7.493399039298259,4.986005477979231,Low,2024-02,1,Middle-aged,7
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,2022-09-16 12:13:55,2022,9,2022Q3,53.78591910532317,14.214080894676831,20.90306013923064,1,782.0,Medium,15.631988973592309,-1.4179080789154757,8.116599936923576,Medium,2022-09,0,Middle-aged,90
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,2022-01-04 03:30:36,2022,1,2022Q1,14.67763579628339,6.32236420371661,30.10649620817433,1,346.5,Low,7.668196931909429,-1.3458327281928186,3.007414967460165,Low,2022-01,0,Young Adult,14
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,2022-02-11 11:45:02,2022,2,2022Q1,55.50097991543953,23.49902008456047,29.74559504374743,1,1777.5,High,18.327999327867275,5.171020756693196,9.616381850327624,Medium,2022-02,0,Adult,7
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,2023-09-02 03:44:43,2023,9,2023Q3,57.79371904857919,25.206280951420812,30.369013194482907,1,830.0,High,11.628617674683888,13.577663276736928,10.496335492313031,Medium,2023-09,1,Senior,14
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,2022-04-10 08:49:37,2022,4,2022Q2,26.175194248748564,9.824805751251436,27.291127086809546,1,828.0,Low,7.142688613878856,2.68211713737258,2.40445150776752,Low,2022-04,0,Senior,90
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,2024-09-28 16:09:45,2024,9,2024Q3,58.1055680020167,35.8944319979833,38.185565955301385,1,235.0,High,16.463773971040933,19.430658026942364,8.643672658551091,Medium,2024-09,1,Young Adult,90
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,2024-09-12 14:57:01,2024,9,2024Q3,20.01527845905434,12.98472154094566,39.34764103316867,1,841.5,Low,16.849617500251593,-3.864895959305933,3.2506825921546847,Low,2024-09,1,Middle-aged,30
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,2024-10-11 12:43:15,2024,10,2024Q4,28.130866941426262,17.869133058573734,38.84594143168203,1,529.0,Medium,14.589432089981862,3.279700968591872,3.478948546555195,Low,2024-10,1,Middle-aged,90
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,2022-07-26 07:06:53,2022,7,2022Q3,48.2211148893812,21.7788851106188,31.11269301516972,1,245.0,Medium,17.801983298038294,3.976901812580508,7.199779022494015,Medium,2022-07,0,Middle-aged,7
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,2023-02-28 15:08:14,2023,2,2023Q1,18.998178047473004,10.001821952526996,34.48904121561033,1,493.0,Low,16.06059458046007,-6.058772627933074,2.293296638243358,Low,2023-02,1,Young Adult,90
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,2024-02-16 16:26:23,2024,2,2024Q1,34.77157979876154,13.228420201238457,27.559208752580115,1,864.0,Medium,18.233086058404854,-5.004665857166401,5.700010045461196,Low,2024-02,1,Adult,365
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,2023-11-29 23:17:34,2023,11,2023Q4,20.76069990474885,5.239300095251149,20.151154212504423,1,299.0,Low,11.508320727282191,-6.269020632031044,2.522750039428257,Low,2023-11,1,Young Adult,90
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,2023-01-30 21:31:57,2023,1,2023Q1,57.56749394229992,27.43250605770008,32.27353653847068,1,1912.5,High,16.213956921491636,11.218549136208445,8.149859111286803,Medium,2023-01,1,Middle-aged,14
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,2023-02-26 16:27:02,2023,2,2023Q1,41.45655854761235,16.543441452387647,28.52317491790974,1,145.0,Medium,19.996273451435663,-3.452831999048019,8.605126679990308,Medium,2023-02,1,Middle-aged,30
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,2024-11-01 16:14:51,2024,11,2024Q4,58.065266230424704,26.934733769575296,31.687922081853287,1,977.5,High,15.873967962794287,11.060765806781008,7.585781212611848,Medium,2024-11,1,Senior,365
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,2023-11-26 19:33:12,2023,11,2023Q4,33.08653634240799,9.913463657592011,23.05456664556281,1,731.0,Low,6.712756703556982,3.200706954035029,3.707870360135144,Low,2023-11,1,Middle-aged,30
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,2023-09-30 19:10:31,2023,9,2023Q3,41.363705876699726,11.636294123300274,21.955271930755234,1,1007.0,Medium,12.774780836437746,-1.1384867131374712,4.338603167798068,Medium,2023-09,1,Young Adult,14
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,2022-02-08 23:10:12,2022,2,2022Q1,70.56787214213573,20.432127857864277,22.452887755894807,1,2366.0,High,13.81021686864542,6.621910989218854,12.692217910879762,Medium,2022-02,0,Middle-aged,14
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,2023-11-11 21:38:23,2023,11,2023Q4,76.30794698264175,19.692053017358248,20.51255522641484,1,2160.0,High,7.613160126070865,12.078892891287383,9.56854873054251,Medium,2023-11,1,Adult,90
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,2024-11-27 06:23:13,2024,11,2024Q4,43.59627626602198,28.40372373397802,39.44961629719169,1,936.0,Medium,19.44337451267057,8.960349221307453,7.920104237860576,Medium,2024-11,1,Young Adult,90
